保管成本指在保管过程中为保管物品而发生的全部费用。,保管成本指在保管过程中为保管物品而发生的全部费用。,10
运输方式按运输中途是否换载可分为直达运输和中转运输。,运输方式按运输中途是否换载分类：直达运输；中转运输；,10
检尺求积是对以体积为计量单位的物品，先检尺、后求体积所做的数量验收。,检尺求积是对以体积为计量单位的物品，先检尺、后求体积所做的数量验收。,10
人力作业的安全操作要求：在合适的作业环境和符合条件下进行作业；尽量采用机械作业；做好安全防护工作；专人指挥；合理安排休息时间。,人力作业的安全操作要求：在合适的作业环境和符合条件下进行作业；尽量采用机械作业；做好安全防护工作；专人指挥；合理安排休息时间。,10
整合按单分拣方式，主要应用在每个订单只有一种品项的场合，为了提高输配送的效率，将某一地区的订单整合成一张拣货单，做一次分拣后，集中捆包出库。它属于按单分拣的一种变形方式,整合按单分拣方式，主要应用在每个订单只有一种品项的场合，将某一地区的订单整合成一张拣货单，做一次分拣后，集中捆包出库。,8
将物品按品种、出入库先后顺序进行分门别类堆放的作业就是分拣。,将物品按品种、出入库先后顺序进行分门别类堆放的作业就是分拣。,10
进货作业包含接收商品、装卸搬运、码托盘、核对该商品的数量及质量和签单，然后将有关信息书面化等一系列工作。,进货作业包括接收商品、装卸搬运、码托盘、核对该商品的数量及质量（主要是外表质量）和签单，然后将有关信息书面化等一系列工作。,10
储位划分的形式包括：仓库内部平面布局、仓库内部空间布局。,储位划分的形式包括：仓库内部平面布局、仓库内部空间布局。,10
物品验收方式分为全验和抽验。,物品验收方式：全验。,5
安全库存：是指为了防止不确定性因素（如大量突发性订货、交货期突然延期、临时用量增加、交货误期等特殊原因）而预计的保险储备量（缓冲库存）,安全库存：是指为了防止不确定性因素（如大量突发性订货、交货期突然延期、临时用量增加、交货误期等特殊原因）而预计的保险储备量（缓冲库存）,10
设施是指除人员、设备以外的一切硬件，具体包括办公室、休息室、仓储区、拣货区、收货区和出货区等等区域空间的安排及一些消防设施等周边硬件。 ,设施是指除人员、设备以外的一切硬件，具体包括办公室、休息室、仓储区、拣货区、收货区和出货区等等区域空间的安排及一些消防设施等周边硬件。 ,10
按单拣选产生的问题：商品品种多时，拣货行走路线过长，拣取效率低；    拣取区域大时，搬运系统设计困难；少量、多批次拣取时，会造 成拣货路径重复费高，效率降低。,按单拣选产生的问题：商品品种多时，拣货行走路线过长，拣取效率低；    拣取区域大时，搬运系统设计困难；少量、多批次拣取时，会造 成拣货路径重复费高，效率降低。,10
按货架的发展分类：传统式货架、新型货架,传统式货架,5
MRP包含：原料、生产、销售、产品结构。 ,MRP包含：原料、生产、销售、产品结构。 ,10
普通仓库是用于存放无特殊保管要求的物品的仓库。,普通仓库是用于存放无特殊保管要求的物品的仓库。,10
相关程度决定因素：两个区域之间传递的物流量的大小，物流量越大，关系密切程度就越高，否则就低；两个区域之间业务交流的频繁程度，如人员接触、文件传递等。前者称物流相关，后者称活动相关或非物流相关。,相关程度决定因素：两个区域之间传递的物流量的大小，物流量越大，关系密切程度就越高，否则就低；两个区域之间业务交流的频繁程度，如人员接触、文件传递等。前者称物流相关，后者称活动相关或非物流相关。,10
子标签拣选系统（DPS），是以一连串装于货架格位上的电子显示装置(电子标签)取代拣货单，指示应拣取的物品及数量，辅助捡货人员的作业，减少目视寻找的时间。,装于货架格位上的电子显示装置取代拣货单，指示应拣取的物品及数量，辅助捡货人员的作业，减少目视寻找的时间。,9
苫盖方法包括：就垛苫盖法、鱼鳞式苫盖法、固定棚架苫盖法、活动棚架苫盖法、隔离苫盖法。,苫盖方法包括：就垛苫盖法、鱼鳞式苫盖法、固定棚架苫盖法、活动棚架苫盖法、隔离苫盖法。,10
配送中心：为了顺利、有序、方便地向客户发送商品，对组织来的各种货物进行整理，并依据订单要求进行组合的过程。,对组织来的各种货物进行整理，并依据订单要求进行组合的过程。,7
影响仓库平面布置的因素：仓库的专业化程度、仓库的规模和功能。,影响仓库平面布置的因素：仓库的专业化程度、仓库的规模和功能。,10
根据仓库的主要功能不同可分为：储备库和物流库。,根据仓库的主要功能不同可分为：储备库和物流库。,10
依据拣货信息，拣货信息包括多种形式，最常见的就是拣货单是拣货的依据。,拣货依据：依据拣货信息，拣货信息包括多种形式，最常见的就是拣货单。,10
对货物进行储存的区域称为保管储区。,对货物进行储存的区域称为保管储区。,10
成组堆码：指采用成组工具现将物品组成一组、使其堆存单元扩大，从而可以用装卸机械成组搬运、装卸。,成组堆码：指采用成组工具现将物品组成一组、使其堆存单元扩大，从而可以用装卸机械成组搬运、装卸。,10
直线制的优点：结构简单、权力集中、责任分明、命令统一、联系简捷；直线制的缺点：管理职能集中由一人承担，容易发生较大失误；部门间协调差 。,直线制的优点：结构简单、权力集中、责任分明、命令统一、联系简捷；直线制的缺点：管理职能集中由一人承担，容易发生较大失误；部门间协调差 。,10
储位编码包括：库房编号、库房内货位编号、货架上的货位编号、货场货位编号。,储位编码包括：库房编号、库房内货位编号、货架上的货位编号、货场货位编号。,10
衡量仓储企业经营管理水平和管理质量高低的重要标志是仓储成本。,仓储成本是衡量仓储企业经营管理水平和管理质量高低的重要标志。,10
呆品废品改善对策包括：A验收时力求严格把关，防止不合格货品混入；B检讨储存方法、设备与养护条件，防止货品变质。特别是对货品的有效期管理更应重视。C随时掌握库存水平。特别是滞销品的处置，减少呆废货品积压资金和占用库存。,呆品废品改善对策包括：A验收时力求严格把关，防止不合格货品混入；B检讨储存方法、设备与养护条件，防止货品变质。特别是对货品的有效期管理更应重视。C随时掌握库存水平。特别是滞销品的处置，减少呆废货品积压资金和占用库存。,10
配送中心规划的原则有：动态原则；低运费原则；服务和竞争原则；交通便利原则；统筹原则。,配送中心规划的原则：动态原则；低运费原则；服务和竞争原则；交通便利原则；统筹原则。,10
自动化立体仓库是指入库采用运送机械存放取出，用堆垛机等设备进行机械化自动化作业的高层货架仓库。,自动化立体仓库是指入库采用运送机械存放取出，用堆垛机等设备进行机械化自动化作业的高层货架仓库。,10
仓储作业质量的指标包含：货损货差率；设备完好率；保管损耗率；账务差异率；收发货差错率。,仓储作业质量的指标包含：货损货差率；设备完好率；保管损耗率；账务差异率；收发货差错率。,10
配送中心作业区域规划程序包含：活动关系的分析；区域位置的布置；流程动线分析；实体限制的修正。,配送中心作业区域规划程序包含：活动关系的分析；区域位置的布置；流程动线分析；实体限制的修正。,10
重心法的缺点有：一般此法是根据可变成本来进行选址的，没有区分在不同地点物流配送中心或网点所需资本成本的差异；该方法假设运费随距离呈线性变化，而实际生活中运费常常是随距离增大而递减；配送中心和其他网络节点之间的路线通常假定为直线，且被选地址是连续的，这都不符合实际情况。,重心法的缺点：首先，一般此法是根据可变成本来进行选址的，没有区分在不同地点物流配送中心或网点所需资本成本的差异；其次，该方法假设运费随距离呈线性变化，而实际生活中运费常常是随距离增大而递减；另外，配送中心和其他网络节点之间的路线通常假定为直线，且被选地址是连续的，这都不符合实际情况。,10
DBMS是一种操作和管理数据库的大型软件，可用于建立、使用和维护数据库。物流系统中的库存、货位、入出库记录等重要数据都是通过DBMS管理的。,DBMS是一种操作和管理数据库的大型软件。物流系统中的数据都是通过DBMS管理的。,6
拣选是按订单或出库单的要求，从储存场所选出物品，并放置指定地点的作业,拣选是按订单或出库单的要求，从储存场所选出物品，并放置指定地点的作业,10
配装用来解决在单个客户配送数量不能达到车辆的有效运载负荷时，如何集中不同客户的配送货物，进行搭配装载以充分利用运能、运力的问题。,配装用来解决在单个客户配送数量不能达到车辆的有效运载负荷时，如何集中不同客户的配送货物，进行搭配装载以充分利用运能、运力的问题。,10
仓库一般只做外观检验和尺寸精度检验两种。,仓库一般只做外观检验。,5
ERP的功能模块包含：供应链管理、销售与市场、分销、客户服务、财务管理、制造管理、库存管理、工厂与设备维护、人力资源、报表、制造执行系统、工作流服务和企业信息系统等。此外，还包括金融投资管理、质量管理、运输管理、项目管理、法规与标准和过程控制等补充功能。,ERP的功能模块：供应链管理、销售与市场、分销、客户服务、财务管理、制造管理、库存管理、工厂与设备维护、人力资源、报表、制造执行系统、工作流服务和企业信息系统等。此外，还包括金融投资管理、质量管理、运输管理、项目管理、法规与标准和过程控制等补充功能。,10
配送运输一般使用汽车做运输工具，是一种较短距离、较小规模、额度较高的运输形式。,配送运输一般使用汽车做运输工具，是一种较短距离、较小规模、额度较高的运输形式。,10
订单处理作业所面临的问题包括：如何简化在零售商的订单处理方面的订货作业；如何提高订货资料；正确性如何快速下单。如何简化在配送中心的订单处理方面的接单作业；如何处理量多繁杂的订货资料；如何掌握订单进度。,订单处理作业所面临的问题包括：如何简化在零售商的订单处理方面的订货作业；如何提高订货资料；正确性如何快速下单。如何简化在配送中心的订单处理方面的接单作业；如何处理量多繁杂的订货资料；如何掌握订单进度。,10
运输管理系统是一种“供应链”分组下的操作软件。它能通过多种方法和其他相关的操作一起提高物流的管理能力；,运输管理系统，英文缩写“TMS”，是一种“供应链”分组下的（基于网络的）操作软件。它能通过多种方法和其他相关的操作一起提高物流的管理能力；,10
狭义的物流节点仅指现代物流意义的物流（配送）中心、物流园区和配送网点。,狭义的物流节点仅指现代物流意义的物流（配送）中心、物流园区和配送网点。,10
物品储存的安全性指标，主要用发生的各种事故的大小和次数来表示，主要有人身伤亡、仓库失火、爆炸、被盗、机械损坏事故几类。,物品储存的安全性指标，主要用发生的各种事故的大小和次数来表示，主要有人身伤亡、仓库失火、爆炸、机械损坏事故几类。,9
复合分拣是指按订单品项、数量和出库频率决定哪些订单适合按单分拣，哪些订单适合批量分拣。是按单分拣与批量分拣的组合运用。,复合分拣是指按订单品项、数量和出库频率决定哪些订单适合按单分拣，哪些订单适合批量分拣。是按单分拣与批量分拣的组合运用。,10
《物流术语》中规定运输是：用专用运输设备将物品从一个地点向另一地点运送。其中包括集货、分配、搬运、中转、装入、卸下、分散等一系列操作。,我国国家标准《物流术语》对运输的定义是：用专用运输设备将物品从一个地点向另一地点运送。其中包括集货、分配、搬运、中转、装入、卸下、分散等一系列操作。,10
重心法的优点有：数据容易搜集，计算简单，容易理解。由于通常不需要对物流系统进行整体评估，所以在单一设施选址时常采用解析方法。 ,重心法的优点：数据容易搜集，计算简单，容易理解。由于通常不需要对物流系统进行整体评估，所以在单一设施选址时常采用解析方法。 ,10
盘点的意义包括：A查清实际库存数量；B计算企业资产的损益，掌握盘点周期内的亏盈状况；C发现仓库、现场管理中存在的问题，加强管理，防微杜渐；D掌握物品的存货水平，呆滞物料的情况及物品的周转状况；E发现并清除吊滞料，理整环境、清除死角；F有效整顿仓库、现场等物料存放。,盘点的意义包括：A查清实际库存数量；B计算企业资产的损益，掌握盘点周期内的亏盈状况；C发现仓库、现场管理中存在的问题，加强管理，防微杜渐；D掌握物品的存货水平，呆滞物料的情况及物品的周转状况；E发现并清除吊滞料，理整环境、清除死角；F有效整顿仓库、现场等物料存放。,10
配送中的储存有储备及暂存两种形态。 配送储备储备数量较大，储存更加有计划性。暂存，是具体执行日配送时，按分拣配货要求，在理货场地所做的少量储存准备 。,配送中的储存有储备及暂存两种形态。 配送储备储备数量较大，储存更加有计划性。暂存，是具体执行日配送时，按分拣配货要求，在理货场地所做的少量储存准备 。,10
空间布局的主要形式有：物品堆垛；利用货架；采用架上平台。,空间布局的主要形式有：物品堆垛；利用货架；采用架上平台。,10
仓储管理系统中基础数据管理包括：用户数据；部门数据；货位数据；客户主数据；物流主数据；订单类数据；其他数据,仓储管理系统中基础数据管理包括：用户数据；部门数据；货位数据；客户主数据；物流主数据；订单类数据；其他数据,10
存货人向仓库提出入库申请的书面形式，叫“入库通知单”，起到预报信息的作用。,存货人向仓库提出入库申请的书面形式，叫“入库通知单”，起到预报信息的作用。,10
配送模式有自营配送模式、共同配送模式和第三方配送三种。,配送模式有自营配送模式、共同配送模式和第三方配送三种。,10
对物流价值的事前计划与控制以及事后的分析与评估，以衡量配送中心配送系统和配送活动全过程的投入与产出状况的分析技术与方法是配送中心绩效评价。,对物流价值的事前计划与控制以及事后的分析与评估，以衡量配送中心配送系统和配送活动全过程的投入与产出状况的分析技术与方法是配送中心绩效评价。,10
装卸搬运作业成本分析与控制包括：合理选择装卸搬运机具；提高物品装卸搬运的活性化与可运性；利用重力作用，减少能量消耗；合理选择装卸搬运方式；改进装卸搬运作业方法。,装卸搬运作业成本分析与控制包括：合理选择装卸搬运机具；利用重力作用，减少能量消耗；改进装卸搬运作业方法。,7
典型的仓储企业组织结构形式：直线制组织结构形式、直线职能制组织结构形式、事业部制组织结构形式。,典型的仓储企业组织结构形式：直线制组织结构形式、直线职能制组织结构形式、事业部制组织结构形式。,10
直线制的优缺点：优点——结构简单、权力集中、责任分明、命令统一、联系简捷；缺点——管理职能集中由一人承担，容易发生较大失误；部门间协调差 。,优点——权力集中；缺点——部门间协调差 。,2
拣货单位是指拣货作业中拣取货物的包装单位。订货单位合理化主要是避免过小单位出现在订单中，减少作业量与误差，如订货的最小单位是箱，则不要以单品为拣货单位。  ,拣货单位是指拣货作业中拣取货物的包装单位。订货单位合理化主要是避免过小单位出现在订单中，减少作业量与误差，如订货的最小单位是箱，则不要以单品为拣货单位。  ,10
配货检查的方法包括：人工检查法、条码检查法、声音输入检查法、重量计算检查法。,配货检查的方法有：人工检查法、条码检查法、声音输入检查法、重量计算检查法。,10
直线制组织结构形式是由一个上级直接管理多个下级的一种组织结构形式。,直线制组织结构形式是由多个上级直接管理多个下级的一种组织结构形式。,7
补货作业：从保管区域将货品移到另一个为了做订单拣取的动管拣货区域，然后将此迁移作业做书面上之处理。,补货作业：从保管区域将货品移到另一个为了做订单拣取的动管拣货区域，然后将此迁移作业做书面上之处理。,10
自由贸易区 （Free Trade Zone，简称FTZ）是指在贸易和投资等方面比世贸组织有关规定更加优惠的贸易安排；在主权国家或地区的关境以外，划出特定的区域，准许外国商品豁免关税自由进出。,自由贸易区 （Free Trade Zone，简称FTZ）是指在贸易和投资等方面比世贸组织有关规定更加优惠的贸易安排；在主权国家或地区的关境以外，划出特定的区域，准许外国商品豁免关税自由进出。,10
订单处理作业所面临的问题：在零售商的订单处理方面——如何简化订货作业；如何提高订货资料；正确性如何快速下单。在配送中心的订单处理方面——如何简化接单作业；如何处理量多繁杂的订货资料；如何掌握订单进度。,如何简化订货作业；如何提高订货资料；正确性如何快速下单。如何简化接单作业；如何处理量多繁杂的订货资料；如何掌握订单进度。,8
组织结构建立的原则：任务目标原则、精简原则、专业分工与协作原则、指挥统一原则、责权利相结合原则、有效管理幅度原则、稳定性和适应性相结合原则。,组织结构建立的原则：任务目标原则、精简原则、专业分工与协作原则、指挥统一原则、责权利相结合原则、有效管理幅度原则、稳定性和适应性相结合原则。,10
仓库内部空间布局也称为仓库内部竖向布局，指储存物品在仓库立体空间上的布局，其目的在于充分有效地利用仓库空间。,仓库内部空间布局也称为仓库内部竖向布局，指储存物品在仓库立体空间上的布局，其目的在于充分有效地利用仓库空间。,10
配送作业中拣货包装单位通常有以下四种：单件、托盘、箱、特殊物品。,单件、托盘、特殊物品。,7
按货架的可动性分类：固定式货架、移动式货架、旋转式货架、组合货架、可调式货架、流动储存货架,按货架的可动性分类：固定式货架、移动式货架,4
仓库防火防爆的具体措施：控制可燃物；隔绝空气；消除引火源；阻止火势蔓延；灭火器的使用,仓库防火防爆的具体措施：控制可燃物；隔绝空气；消除引火源；阻止火势蔓延；灭火器的使用,10
订单处理的方式：人工处理；计算机处理。,订单处理的方式：人工处理；计算机处理。,10
按货架的适用性分类：通用货架、专用货架,按货架的适用性分类：通用货架、专用货架,10
配送作业中拣货包装单位：单件、托盘、箱、特殊物品。,配送作业中拣货包装单位：单件、托盘、箱、特殊物品。,10
封闭式仓库：俗称库房，该结构的仓库封闭性强，便于对仓储物进行维护保养，适于存放保管要求比较高的物品。,封闭式仓库：俗称库房，该结构的仓库封闭性强，便于对仓储物进行维护保养，适于存放保管要求比较高的物品。,10
RFID的组成：标签、阅读器和天线。,RFID的组成：标签、阅读器和天线。,10
质量包括商品的质量优劣以及各项物流各项物流作业的特殊的质量指标：如耗损、缺货、呆滞品、维修、退货、延迟交货、事故、误差率等。,质量，不仅包括商品的质量优劣，还包括各项物流各项物流作业的特殊的质量指标：如耗损、缺货、呆滞品、维修、退货、延迟交货、事故、误差率等。,10
备货作业成本分析与控制包括：合理选择备货作业方式；合理安排仓储空间，降低备货成本；加强货位管理，提高备货作业效率。,备货作业成本分析与控制包括以下内容：合理选择备货作业方式；合理安排仓储空间，降低备货成本；加强货位管理，提高备货作业效率。,10
半封闭式仓库：俗称货棚，其保管条件不如库房，但是出入库作业比较方便，且建造成本较低，适宜存放那些对温湿度要求不高且出入库频繁的物品。,半封闭式仓库：俗称货棚，其保管条件不如库房，但是出入库作业比较方便，且建造成本较低，适宜存放那些对温湿度要求不高且出入库频繁的物品。,10
无线射频识别：通过一种无线电讯号和微芯片标签识别特定目标并读写相关数据的通讯技术。,无线射频识别（RFID）是通过一种无线电讯号和微芯片标签识别特定目标并读写相关数据的通讯技术。,10
人员负担和时间耗用是配送中心绩效评价的指标,人员负担和时间耗用是配送中心绩效评价的指标,10
物品出库时的“三核”指的是：在发货时，要核对凭证、核对账卡、核对实物。,物品出库时的“三核”指的是：在发货时，要核对凭证、核对账卡、核对实物。,10
马克思将运输称之为“第四个物质生产部门”，它是国民经济的基础和先行。,运输是国民经济的基础和先行，马克思将运输称之为“第四个物质生产部门”。,10
拣货作业流程：生成拣货资料、行走或搬运、拣取和分类与集中。,拣货作业过程，由生成拣货资料、行走或搬运、拣取和分类与集中几个环节组成。,10
合计后拣货、效率较高；盘亏较少是批量分拣的优点。,批量分拣的优点：合计后拣货、效率较高；盘亏较少。,10
仓储成本分析与控制包括： 存储成本分析与控制；装卸搬运作业成本分析与控制；备货作业成本分析与控制；人工费用的分析与控制；包装作业成本分析与控制；机具物料和燃料的成本控制；提高仓储服务质量，降低仓储成本；降低机会成本和风险成本。,仓储成本分析与控制包括以下方面： 存储成本分析与控制；装卸搬运作业成本分析与控制；备货作业成本分析与控制；人工费用的分析与控制；包装作业成本分析与控制；机具物料和燃料的成本控制；提高仓储服务质量，降低仓储成本；降低机会成本和风险成本。,10
配送作业中拣货包装单位通常有以下四种：单件、托盘、箱、特殊物品。,配送作业中拣货包装单位通常有以下四种：单件、托盘、箱、特殊物品。,10
仓储成本分析与控制包括： 存储成本分析与控制；装卸搬运作业成本分析与控制；备货作业成本分析与控制；人工费用的分析与控制；包装作业成本分析与控制；机具物料和燃料的成本控制；提高仓储服务质量，降低仓储成本；降低机会成本和风险成本。,仓储成本分析与控制包括： 存储成本分析与控制；装卸搬运作业成本分析与控制；备货作业成本分析与控制；人工费用的分析与控制；包装作业成本分析与控制；机具物料和燃料的成本控制；提高仓储服务质量，降低仓储成本；降低机会成本和风险成本。,10
如果一个物品不常进出库、我们就叫它“低物动量”。,如果一个物品不常进出库、我们就叫它“低物动量”。,10
物品损耗标准包括：标准损耗率、保管损耗率。,物品损耗标准包括：标准损耗率、保管损耗率。,10
配装：配送中心按存货客户的指令，根据目的地、发货数量、线路等对待发货的物品进行配车并装车的活动。,配装（goods matching）指配送中心按存货客户的指令，根据目的地、发货数量、线路等对待发货的物品进行配车并装车的活动。,10
条码的类别包括 ：商品条码、物流条码和二维条码。,条码的类别 ：商品条码、物流条码、二维条码。,10
叉车是指具有各种叉具，能够对物品进行升降和移动以及装卸作业的搬运车辆。,能够对物品进行升降和移动以及装卸作业的搬运车辆。,7
仓储管理是围绕着在库“物品”的管理，即对在库“物”的管理。,仓储管理是围绕着在库“物品”的管理，即对在库“物”的管理。,10
物流相关分析就是对配送中心各区域间传递的物流量大小进行分析，用物流量的大小表示各功能区域之间的物流相关程度，分为A、E、I、O、U五个等级。,物流相关分析即对配送中心各区域间传递的物流量大小进行分析，用物流量的大小表示各功能区域之间的物流相关程度，分成五个等级，分别用A、E、I、O、U表示。,10
常见的组织结构形式：直线制；职能制；直线职能制；矩阵制。,直线制；矩阵制。,5
作业流程规划以后就可以根据配送中心的运营特性规划所需要的作业区域。其中作业区域包括物流作业区域、辅助作业区域和事务活动区域。,作业流程规划以后就可以根据配送中心的运营特性规划所需要的作业区域。其中作业区域包括物流作业区域、辅助作业区域和事务活动区域。,10
订单类型：一般交易订单；兑换券交易订单；现销式交易订单；间接交易订单；合约式交易订单；寄库式交易订单。,一般交易订单；兑换券交易订单；合约式交易订单；寄库式交易订单。,7
分区、订单分割、订单分批、分类是决定分拣策略的主要因素,决定分拣策略的四个主要因素：分区、订单分割、订单分批、分类,10
人至货前拣选方式的特点包括：货物处于静态储存方式，要求货物必须是小型，且出货量较少。,人至货前拣选方式的特点：货物处于静态储存方式，要求货物必须是小型，且出货量较少。,10
马克思将运输称之为“第四个物质生产部门”，它是国民经济的基础和先行。,马克思将运输称之为“第四个物质生产部门”，它是国民经济的基础和先行。,10
仓储作业效益的指标包含：工资利润率；成本利润率；资金利润率；利润总额；收入利润率；每吨物品保管利润。,反映仓储作业效益的指标：工资利润率；成本利润率；资金利润率；利润总额；收入利润率；每吨物品保管利润。,10
保管人储存存货人交付的仓储物，存货人支付仓储费的合同称为仓储合同,仓储合同，又称仓储保管合同，是保管人储存存货人交付的仓储物，存货人支付仓储费的合同。,10
盘点前的准备：决策准备；人员准备；环境整理； 盘点工具准备；盘点前指导。,盘点前的准备包括：决策准备；人员准备；环境整理； 盘点工具准备；盘点前指导。,10
做好储存准备工作中的物资准备：指货位、仓储笼、托盘、垫板、集装袋、拉伸缠绕膜、装卸搬运工具、保管保养机具、包装物以及消防灭火器材等物品的准备。,做好储存准备工作中的物资准备：指货位、仓储笼、托盘、垫板、集装袋、拉伸缠绕膜、装卸搬运工具、保管保养机具、包装物以及消防灭火器材等物品的准备。,10
条码由一组规则排列的条、空及其对应代码组成，表示商品特定信息的标识。,条码由一组规则排列的条、空及其对应代码组成，表示商品特定信息的标识。,10
做好储存准备工作中的心理准备：指货物在库期间，对货物保管和保养工作量及质量的心理预期。,做好储存准备工作中的心理准备：指货物在库期间，对货物保管和保养工作量及质量的心理预期。,10
按订单拣取作业又称作“摘果式”、“人到货前式”、“订单别拣选” 或“单一顺序拣选”等。原理是分拣人员或分拣工具巡回于各个储存点，按订单所列商品及数量，将客户所订购的商品逐一由仓库储位或其它作业区中取出，然后集中在一起的一种传统拣货方式。  ,按订单拣取作业原理是：分拣人员或分拣工具巡回于各个储存点，按订单所列商品及数量，将客户所订购的商品逐一由仓库储位或其它作业区中取出，然后集中在一起的一种传统拣货方式，又称作“摘果式”、“人到货前式”、“订单别拣选” 或“单一顺序拣选”等。  ,10
绩效评价又称为“性能评价”或“绩效考核”，是指运用一定的技术方法，采用特定的指标体系，依据统一的评价标准，按照一定的程序，通过定量、定性对比分析，对业绩和效益做出客观、标准的综合判断，真实反映现时状况，预测未来发展前景的管理控制系统。,绩效评价又称为“性能评价”或“绩效考核”，是指运用一定的技术方法，采用特定的指标体系，依据统一的评价标准，按照一定的程序，通过定量、定性对比分析，对业绩和效益做出客观、标准的综合判断，真实反映现时状况，预测未来发展前景的管理控制系统。,10
配装是指进行搭配装载以充分利用运能、运力。在单个客户配送数量不能达到车辆的有效运载负荷时，就存在如何集中不同客户的配送货物的问题。,配装：在单个客户配送数量不能达到车辆的有效运载负荷时，就存在如何集中不同客户的配送货物，进行搭配装载以充分利用运能、运力的问题。,10
按单拣选产生的问题包括：商品品种多时，拣货行走路线过长，拣取效率低；拣取区域大时，搬运系统设计困难；少量、多批次拣取时，会造 成拣货路径重复费高，效率降低。,按单拣选产生的问题：商品品种多时，拣货行走路线过长，拣取效率低；    拣取区域大时，搬运系统设计困难；少量、多批次拣取时，会造 成拣货路径重复费高，效率降低。,10
仓库除了注意调节仓库温湿度外，还要注意虫鼠害、霉腐、锈蚀的防治。,仓库除了注意调节仓库温湿度外，还要注意虫鼠害、霉腐、锈蚀的防治。,10
商品养护员是指对库存商品进行保养维护的人员。,商品养护员是指对库存商品进行保养维护的人员。,10
拣货目的：正确且迅速地集合客户所订购的货品。,迅速地集合货品。,5
条形码的识读原理是根据不同颜色的物体的反射的可见光的波长不同，光电转换器接收到不同强弱的反射光信号，并转换成相应的电信号并进行放大后输出。,条形码的识读原理：根据不同颜色的物体，其反射的可见光的波长不同，光电转换器接收到不同强弱的反射光信号，并转换成相应的电信号并进行放大后输出。,10
仓储管理是指对仓储设施布局和设计以及仓储作业所进行的计划、组织、协调和控制。,仓储管理是指对仓储设施布局和设计以及仓储作业所进行的计划、组织、协调和控制。,10
仓库通道一般包括主通道和支通道以及副道。,仓库通道一般包括主通道和支通道以及副道。,10
顾客订单是配送服务质量得以保证的基础，是配送服务的第一个环节。,顾客订单是配送服务质量得以保证的基础，是配送服务的第一个环节。,10
订单处理通常包括订单确认、存货查询、单据处理等内容。是指从接到客户订单开始到着手准备拣货之间的作业阶段。,订单处理是指：从接到客户订单开始到着手准备拣货之间的作业阶段。通常包括订单确认、存货查询、单据处理等内容。,10
订单类型包含：一般交易订单；兑换券交易订单；现销式交易订单；间接交易订单；合约式交易订单；寄库式交易订单。,订单类型：一般交易订单；兑换券交易订单；现销式交易订单；间接交易订单；合约式交易订单；寄库式交易订单。,10
直线制组织结构形式是由一个上级直接管理多个下级的一种组织结构形式。,直线制组织结构形式是由一个上级直接管理多个下级的一种组织结构形式。,10
仓库平面布置的要求：仓库平面布置要适应仓储作业过程的要求，要有利于仓储作业的顺利进行；仓库平面布置要有利于提高仓储经济效益；仓库平面布置要有利于保证安全和职工的健康。,仓库平面布置的要求：仓库平面布置要有利于提高仓储经济效益；仓库平面布置要有利于保证安全和职工的健康。,6
人至货前拣选方式：人到储存区寻找并取出所需要的货物。,人至货前拣选方式是指人(或人乘拣选车)到储存区寻找并取出所需要的货物。,10
在仓库中，质量验收主要指物品外观检验，由仓库保管职能机构组织进行。,在仓库中，质量验收主要指物品外观检验。,5
集货是指将分散的或小批量的物品集中起来，以便进行运输、配送的作业 。,集货是指将分散的或小批量的物品集中起来，以便进行运输、配送的作业 。,10
合理选择备货作业方式有：全面分拣、批处理分拣、分区分拣、分组分拣。,合理选择备货作业方式有：全面分拣、批处理分拣、分区分拣、分组分拣。,10
仓储货品的验收问题的主要内容包括：验收项目，验收方法，验收期限。,仓储货品的验收问题的主要内容有三项：一是验收项目，二是验收方法，三是验收期限。,10
订单处理的主要内容：订单内容确认；订单接收；订单资料输出 ；存货查询及依订单分配存货 。,订单处理的主要内容：订单内容确认；订单接收；订单资料输出 ；存货查询及依订单分配存货 。,10
仓库一般只做外观检验和尺寸精度检验两种。,仓库一般只做外观检验和尺寸精度检验两种。,10
进货作业包含接收商品、装卸搬运、码托盘、核对该商品的数量及质量和签单，然后将有关信息书面化等一系列工作。,进货作业包含接收商品、装卸搬运、码托盘、核对该商品的数量及质量和签单，然后将有关信息书面化等一系列工作。,10
矩阵制优点：打破单向领导，加强了管理部门间的联系和配合，有利于信息沟通和共同决策，提高工作的效率；把不同的专业人员组织在一起，有利于激发人们的积极性和创造性，提高技术水平和管理水平；把完成任务所需的各种专业知识和经验集中在一起，提高了管理组织的机动性和灵活性。,打破单向领导，提高了管理组织的机动性和灵活性。,3
ABC分析法，就是以某类库存物资品种数占物资品种数的百分数和该类物资金额占库存物资总金额的百分数大小为标准，将库存物资分为A、B、C三类，进行分级管理。,ABC分析法，就是以某类库存物资品种数占物资品种数的百分数和该类物资金额占库存物资总金额的百分数大小为标准，将库存物资分为A、B、C三类，进行分级管理。,10
批量拣取又称“播种式”，是指把多张订单集合成一批次，按商品品种类别将数量加总后再进行分拣，分拣完后再按客户订单进行分类处理的拣货作业方式。,批量拣取是把多张订单集合成一批次，按商品品种类别将数量加总后再进行分拣，分拣完后再按客户订单进行分类处理的拣货作业方式，又称“播种式”。,10
